proporcao;empate
0.25;true
0.25;true
0.31;true
0.31;true
0.30;true
0.33;true
0.33;true
0.35;true
0.34;true
0.32;true
0.34;true
0.30;true
0.29;true
0.29;true
0.30;true
0.31;true
0.33;true
0.33;true
0.30;true
0.31;true
0.31;true
0.32;true
0.32;true
0.32;true
0.32;true
0.30;true
0.30;true
0.31;true
0.31;true
0.31;true
0.30;true
0.29;true
0.30;true
0.30;true
0.30;true
0.30;true
0.30;true
0.29;true
0.30;true
0.29;true
0.28;true
0.28;true
0.29;true
0.29;true
0.30;true
0.30;true
0.31;true
0.31;true
0.31;true
0.30;true
0.30;true
0.30;true
0.30;true
0.31;true
0.31;true
0.31;true
0.31;true
0.31;true
0.31;true
0.31;true
0.30;true
0.30;true
0.30;true
0.30;true
0.30;true
0.29;true
0.30;true
0.29;true
0.29;true
0.29;true
0.30;true
0.30;true
0.30;true
0.30;true
0.30;true
0.30;true
0.30;true
0.30;true
0.30;true
0.30;true
0.31;true
0.31;true
0.31;true
0.31;true
0.31;true
0.30;true
0.30;true
0.30;true
0.30;true
0.30;true
0.30;true
0.31;true
0.30;true
0.30;true
0.30;true
0.31;true
0.31;true
0.31;true
0.30;true
0.30;true
0.30;true
0.30;true
0.30;true
0.30;true
0.30;true
0.30;true
0.30;true
0.29;true
0.29;true
0.29;true
0.29;true
0.29;true
0.28;true
0.29;true
0.29;true
0.29;true
0.29;true
0.28;true
0.28;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.26;true
0.26;true
0.26;true
0.26;true
0.26;true
0.26;true
0.26;true
0.26;true
0.26;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.28;true
0.27;true
0.27;true
0.28;true
0.28;true
0.27;true
0.27;true
0.27;true
0.27;true
0.28;true
0.28;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.26;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.28;true
0.28;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.27;true
0.28;true
0.27;true
0.27;true
0.27;true
0.27;true
0.28;true
0.28;true
0.28;true
0.28;true
0.28;true
0.28;true
0.28;true
0.28;true
0.28;true
0.28;true
0.28;true
0.28;true
0.27;true
0.27;true
0.27;true
0.28;true
0.28;true
0.28;true
0.28;true
0.28;true
0.28;true
